
> lost-website@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.16.1.223:3000
- Environments: .env.local, .env
 POST /api/internal/discord/role_sync/pull 200 in 141ms (compile: 4ms, render: 137ms)
 POST /api/internal/discord/events/pull 200 in 163ms (compile: 3ms, render: 160ms)
 GET /api/users 404 in 105ms (compile: 12ms, render: 93ms)
 GET /api/guilds 404 in 103ms (compile: 65ms, render: 37ms)
 GET /api/me 404 in 107ms (compile: 29ms, render: 78ms)
 GET /api/chats 404 in 101ms (compile: 50ms, render: 52ms)
 GET /api/activity 404 in 103ms (compile: 57ms, render: 45ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 14ms)
 GET /api/stats 200 in 175ms (compile: 5ms, render: 170ms)
 POST /api/internal/discord/events/pull 200 in 139ms (compile: 3ms, render: 137ms)
 POST /api/internal/discord/role_sync/pull 200 in 214ms (compile: 3ms, render: 211ms)
 POST /api/internal/discord/events/pull 200 in 136ms (compile: 3ms, render: 133ms)
 POST /api/internal/discord/role_sync/pull 200 in 166ms (compile: 3ms, render: 163ms)
 POST /api/internal/discord/events/pull 200 in 589ms (compile: 3ms, render: 586ms)
 POST /api/internal/discord/role_sync/pull 200 in 245ms (compile: 3ms, render: 243ms)
 POST /api/internal/discord/events/pull 200 in 181ms (compile: 3ms, render: 179ms)
 POST /api/internal/discord/role_sync/pull 200 in 165ms (compile: 3ms, render: 162ms)
 POST /api/internal/discord/events/pull 200 in 317ms (compile: 3ms, render: 315ms)
 POST /api/internal/discord/events/pull 200 in 151ms (compile: 3ms, render: 148ms)
 POST /api/internal/discord/role_sync/pull 200 in 200ms (compile: 3ms, render: 197ms)
 POST /api/internal/discord/events/pull 200 in 168ms (compile: 4ms, render: 165ms)
 POST /api/internal/discord/role_sync/pull 200 in 141ms (compile: 3ms, render: 139ms)
 GET /api/users 404 in 112ms (compile: 21ms, render: 90ms)
 GET /api/me 404 in 115ms (compile: 34ms, render: 81ms)
 GET /api/guilds 404 in 110ms (compile: 53ms, render: 57ms)
 GET /api/activity 404 in 58ms (compile: 20ms, render: 38ms)
 GET /api/chats 404 in 44ms (compile: 26ms, render: 18ms)
 GET /api/config 404 in 17ms (compile: 2ms, render: 14ms)
 GET /api/stats 200 in 262ms (compile: 5ms, render: 257ms)
 POST /api/internal/discord/events/pull 200 in 377ms (compile: 1426µs, render: 376ms)
 POST /api/internal/discord/role_sync/pull 200 in 165ms (compile: 1115µs, render: 163ms)
 POST /api/internal/discord/events/pull 200 in 225ms (compile: 3ms, render: 222ms)
 POST /api/internal/discord/role_sync/pull 200 in 208ms (compile: 3ms, render: 205ms)
 POST /api/internal/discord/events/pull 200 in 137ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/events/pull 200 in 205ms (compile: 3ms, render: 202ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 3ms, render: 135ms)
 POST /api/internal/discord/events/pull 200 in 254ms (compile: 3ms, render: 251ms)
 POST /api/internal/discord/role_sync/pull 200 in 204ms (compile: 4ms, render: 199ms)
 POST /api/internal/discord/events/pull 200 in 127ms (compile: 1799µs, render: 125ms)
 POST /api/internal/discord/role_sync/pull 200 in 135ms (compile: 3ms, render: 132ms)
 POST /api/internal/discord/events/pull 200 in 235ms (compile: 3ms, render: 232ms)
 POST /api/internal/discord/role_sync/pull 200 in 128ms (compile: 2ms, render: 125ms)
 POST /api/internal/discord/events/pull 200 in 134ms (compile: 2ms, render: 132ms)
 GET /api/me 404 in 97ms (compile: 18ms, render: 80ms)
 GET /api/users 404 in 96ms (compile: 6ms, render: 90ms)
 GET /api/guilds 404 in 95ms (compile: 40ms, render: 55ms)
 GET /api/activity 404 in 92ms (compile: 50ms, render: 41ms)
 GET /api/chats 404 in 42ms (compile: 20ms, render: 22ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 14ms)
 GET /api/stats 200 in 315ms (compile: 9ms, render: 306ms)
 POST /api/internal/discord/events/pull 200 in 135ms (compile: 3ms, render: 132ms)
 POST /api/internal/discord/role_sync/pull 200 in 339ms (compile: 3ms, render: 336ms)
 POST /api/internal/discord/events/pull 200 in 296ms (compile: 2ms, render: 293ms)
 POST /api/internal/discord/role_sync/pull 200 in 199ms (compile: 3ms, render: 197ms)
 POST /api/internal/discord/events/pull 200 in 135ms (compile: 3ms, render: 131ms)
 POST /api/internal/discord/role_sync/pull 200 in 143ms (compile: 2ms, render: 140ms)
 POST /api/internal/discord/events/pull 200 in 186ms (compile: 3ms, render: 183ms)
 POST /api/internal/discord/role_sync/pull 200 in 139ms (compile: 4ms, render: 135ms)
 POST /api/internal/discord/events/pull 200 in 135ms (compile: 3ms, render: 132ms)
 POST /api/internal/discord/role_sync/pull 200 in 236ms (compile: 3ms, render: 233ms)
 POST /api/internal/discord/events/pull 200 in 173ms (compile: 3ms, render: 171ms)
 POST /api/internal/discord/events/pull 200 in 227ms (compile: 3ms, render: 223ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 3ms, render: 135ms)
 GET /api/stats 200 in 85ms (compile: 3ms, render: 82ms)
 GET /api/users 404 in 117ms (compile: 30ms, render: 86ms)
 GET /api/guilds 404 in 113ms (compile: 44ms, render: 69ms)
 GET /api/me 404 in 119ms (compile: 8ms, render: 111ms)
 GET /api/chats 404 in 70ms (compile: 38ms, render: 33ms)
 GET /api/activity 404 in 88ms (compile: 41ms, render: 47ms)
 GET /api/config 404 in 18ms (compile: 3ms, render: 15ms)
 POST /api/internal/discord/events/pull 200 in 173ms (compile: 4ms, render: 169ms)
 POST /api/internal/discord/role_sync/pull 200 in 221ms (compile: 3ms, render: 218ms)
 POST /api/internal/discord/events/pull 200 in 129ms (compile: 1630µs, render: 127ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 3ms, render: 135ms)
 POST /api/internal/discord/events/pull 200 in 344ms (compile: 3ms, render: 341ms)
 POST /api/internal/discord/role_sync/pull 200 in 235ms (compile: 3ms, render: 232ms)
 POST /api/internal/discord/events/pull 200 in 143ms (compile: 3ms, render: 140ms)
 POST /api/internal/discord/events/pull 200 in 166ms (compile: 3ms, render: 163ms)
 POST /api/internal/discord/role_sync/pull 200 in 145ms (compile: 3ms, render: 142ms)
 POST /api/internal/discord/events/pull 200 in 134ms (compile: 2ms, render: 132ms)
 POST /api/internal/discord/role_sync/pull 200 in 146ms (compile: 3ms, render: 143ms)
 POST /api/internal/discord/events/pull 200 in 276ms (compile: 3ms, render: 273ms)
 POST /api/internal/discord/role_sync/pull 200 in 223ms (compile: 3ms, render: 220ms)
 GET /api/stats 200 in 108ms (compile: 10ms, render: 98ms)
 GET /api/me 404 in 122ms (compile: 34ms, render: 89ms)
 GET /api/users 404 in 105ms (compile: 28ms, render: 77ms)
 GET /api/chats 404 in 81ms (compile: 18ms, render: 63ms)
 GET /api/guilds 404 in 84ms (compile: 33ms, render: 51ms)
 GET /api/activity 404 in 82ms (compile: 25ms, render: 57ms)
 GET /api/config 404 in 16ms (compile: 3ms, render: 13ms)
 POST /api/internal/discord/events/pull 200 in 172ms (compile: 652µs, render: 171ms)
 POST /api/internal/discord/role_sync/pull 200 in 141ms (compile: 4ms, render: 137ms)
 POST /api/internal/discord/events/pull 200 in 128ms (compile: 3ms, render: 125ms)
 POST /api/internal/discord/events/pull 200 in 206ms (compile: 3ms, render: 203ms)
 POST /api/internal/discord/role_sync/pull 200 in 221ms (compile: 3ms, render: 218ms)
 POST /api/internal/discord/events/pull 200 in 201ms (compile: 3ms, render: 199ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/events/pull 200 in 169ms (compile: 3ms, render: 167ms)
 POST /api/internal/discord/role_sync/pull 200 in 131ms (compile: 3ms, render: 128ms)
 POST /api/internal/discord/events/pull 200 in 151ms (compile: 4ms, render: 147ms)
 POST /api/internal/discord/role_sync/pull 200 in 590ms (compile: 3ms, render: 587ms)
 POST /api/internal/discord/events/pull 200 in 137ms (compile: 3ms, render: 134ms)
 POST /api/internal/discord/events/pull 200 in 133ms (compile: 1480µs, render: 131ms)
 GET /api/stats 200 in 83ms (compile: 8ms, render: 75ms)
 GET /api/activity 404 in 107ms (compile: 6ms, render: 101ms)
 GET /api/chats 404 in 106ms (compile: 63ms, render: 43ms)
 GET /api/guilds 404 in 108ms (compile: 17ms, render: 91ms)
 GET /api/me 404 in 110ms (compile: 34ms, render: 76ms)
 GET /api/users 404 in 109ms (compile: 25ms, render: 84ms)
 GET /api/config 404 in 18ms (compile: 3ms, render: 15ms)
 POST /api/internal/discord/role_sync/pull 200 in 133ms (compile: 3ms, render: 130ms)
 POST /api/internal/discord/events/pull 200 in 139ms (compile: 3ms, render: 137ms)
 POST /api/internal/discord/role_sync/pull 200 in 291ms (compile: 3ms, render: 288ms)
 POST /api/internal/discord/events/pull 200 in 162ms (compile: 3ms, render: 159ms)
 POST /api/internal/discord/role_sync/pull 200 in 136ms (compile: 2ms, render: 133ms)
 POST /api/internal/discord/events/pull 200 in 223ms (compile: 3ms, render: 220ms)
 POST /api/internal/discord/role_sync/pull 200 in 160ms (compile: 3ms, render: 157ms)
 POST /api/internal/discord/events/pull 200 in 146ms (compile: 3ms, render: 143ms)
 POST /api/internal/discord/events/pull 200 in 175ms (compile: 3ms, render: 172ms)
 POST /api/internal/discord/role_sync/pull 200 in 215ms (compile: 3ms, render: 212ms)
 POST /api/internal/discord/events/pull 200 in 164ms (compile: 2ms, render: 162ms)
 POST /api/internal/discord/role_sync/pull 200 in 138ms (compile: 3ms, render: 136ms)
 POST /api/internal/discord/events/pull 200 in 137ms (compile: 3ms, render: 134ms)
 GET /api/users 404 in 106ms (compile: 12ms, render: 94ms)
 GET /api/guilds 404 in 105ms (compile: 53ms, render: 52ms)
 GET /api/me 404 in 109ms (compile: 33ms, render: 76ms)
 GET /api/activity 404 in 97ms (compile: 60ms, render: 36ms)
 GET /api/chats 404 in 54ms (compile: 36ms, render: 18ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 14ms)
 GET /api/stats 200 in 309ms (compile: 9ms, render: 299ms)
 POST /api/internal/discord/role_sync/pull 200 in 364ms (compile: 739µs, render: 363ms)
 POST /api/internal/discord/events/pull 200 in 253ms (compile: 4ms, render: 249ms)
 POST /api/internal/discord/role_sync/pull 200 in 137ms (compile: 6ms, render: 131ms)
 POST /api/internal/discord/events/pull 200 in 129ms (compile: 1905µs, render: 127ms)
 POST /api/internal/discord/events/pull 200 in 206ms (compile: 3ms, render: 203ms)
 POST /api/internal/discord/role_sync/pull 200 in 208ms (compile: 3ms, render: 205ms)
 POST /api/internal/discord/events/pull 200 in 137ms (compile: 4ms, render: 134ms)
 POST /api/internal/discord/role_sync/pull 200 in 134ms (compile: 6ms, render: 129ms)
 POST /api/internal/discord/events/pull 200 in 173ms (compile: 2ms, render: 170ms)
 POST /api/internal/discord/role_sync/pull 200 in 206ms (compile: 3ms, render: 203ms)
 POST /api/internal/discord/events/pull 200 in 225ms (compile: 1790µs, render: 223ms)
 GET /api/auth/session 200 in 62ms (compile: 35ms, render: 27ms)
 POST /api/internal/discord/role_sync/pull 200 in 174ms (compile: 22ms, render: 152ms)
 POST /api/internal/discord/events/pull 200 in 124ms (compile: 2ms, render: 122ms)
 GET /api/users 404 in 140ms (compile: 77ms, render: 63ms)
 GET /api/me 404 in 150ms (compile: 79ms, render: 71ms)
 GET /api/guilds 404 in 137ms (compile: 59ms, render: 78ms)
 GET /api/activity 404 in 134ms (compile: 49ms, render: 85ms)
 GET /api/chats 404 in 130ms (compile: 34ms, render: 96ms)
 GET /api/config 404 in 17ms (compile: 3ms, render: 15ms)
 GET /api/stats 200 in 320ms (compile: 3ms, render: 318ms)
 POST /api/internal/discord/events/pull 200 in 340ms (compile: 4ms, render: 336ms)
 POST /api/internal/discord/role_sync/pull 200 in 237ms (compile: 2ms, render: 235ms)
 POST /api/internal/discord/events/pull 200 in 224ms (compile: 3ms, render: 221ms)
 POST /api/internal/discord/role_sync/pull 200 in 132ms (compile: 3ms, render: 130ms)
